Country,Year
Albania,1970
Algeria,2005
Antigua and Barbuda,2015
Armenia,1960
Aruba,2014
Australia,1961
Austria,1968
Azerbaijan,1963
Bahamas,1974
Bahrain,2019
Barbados,2015
Belarus,1965
Belgium,1972
Bolivia,2008
Bosnia and Herzegovina,1980
Botswana,2005
Brazil,2018
Brunei,2017
Bulgaria,1960
Canada,1960
Channel Islands,2015
Chile,1984
China,1995
Croatia,1964
Cuba,1978
Curaçao,1974
Cyprus,1979
Czech Republic,1960
North Korea,1965
Denmark,1960
Dominican Republic,2016
Egypt,2012
Estonia,1960
Fiji,1998
Finland,1971
France,1979
French Polynesia,1989
Georgia,1960
Germany,1960
Greece,1985
Grenada,2015
Guadeloupe,2000
Guam,2015
Guyana,1994
"Hong Kong, China",1986
Hungary,1960
Iceland,1960
Indonesia,2017
Iran,2012
Ireland,1980
Israel,1998
Italy,1975
Jamaica,1984
Japan,1960
Jordan,2020
Kazakhstan,1965
Kiribati,2010
Kyrgyz Republic,1963
Latvia,1960
Lebanon,2008
Libya,2020
Lithuania,1962
Luxembourg,1983
Macao Special Administrative Region of China,1991
Malaysia,1993
Malta,1979
Martinique,1995
Mauritius,2020
Mayotte,2015
Mexico,2014
"Micronesia, Fed. Sts.",1980
Mongolia,1976
Montenegro,1967
Netherlands,1964
New Caledonia,1990
New Zealand,1973
Norway,1960
Occupied Palestinian Territory,2000
Panama,2018
Peru,2010
Philippines,2012
Poland,1960
Portugal,2001
Puerto Rico,1975
South Korea,1977
Moldova,1969
Reunion,2003
Romania,1967
Russia,1962
St. Lucia,2013
Samoa,2013
Saudi Arabia,2004
Serbia,1968
Seychelles,2015
Singapore,1985
Slovak Republic,1960
Slovenia,1960
South Africa,2000
Spain,1980
Sri Lanka,1998
Suriname,2012
Sweden,1970
Switzerland,1960
Taiwan,1980
Tajikistan,1963
Thailand,2008
North Macedonia,1984
Tonga,1988
Trinidad and Tobago,1991
Tunisia,2007
Turkey,2008
Turkmenistan,1960
Ukraine,1961
United Arab Emirates,2009
United Kingdom,1960
United States,1960
Virgin Islands (U.S.),2015
Uzbekistan,2015
Venezuela,2002
Zimbabwe,2018
